"suggest.*strategy.*volatile.*expiry.*week","Expiry week mein IV {iv}% high hai, bhai. Strangle ya iron fly try kar, par gamma {gamma} high hai. Risk tight rakh! 😎 Do your own research!","iv,gamma","witty"
"check.*portfolio.*sharpe.*weekly","Bhai, weekly portfolio ka Sharpe ratio {portfolio_sharpe:.2f} hai. 1+ ho toh solid, warna IV {iv}% pe adjust kar! 😎 Do your own research!","portfolio_sharpe,iv","witty"
"what.*trade.*bias.*overtrading.*market","Overtrading tab hota hai jab tu {trade_frequency} trades/day karta hai, bhai. Last {trade_count} trades mein pattern dikha. Journal likh! 😬 Do your own research!","trade_frequency,trade_count","serious"
"why.*trade.*slippage.*impact.*high","Bhai, slippage {slippage}% impact deta hai coz market volatile hai, IV {iv}% pe. Limit orders use kar ya timing improve kar! 😎 Do your own research!","slippage,iv","witty"
"check.*strategy.*reason.*recommended.*recent","Bhai, {strategy_name} recommended coz {strategy_reason}. Confidence {strategy_confidence:.2f}, IV {iv}% pe solid hai! 😎 Do your own research!","strategy_name,strategy_reason,strategy_confidence,iv","witty"
"suggest.*strategy.*high.*confidence.*volatile","Bhai, high confidence ke liye {strategy_name} try kar, confidence {strategy_confidence:.2f}. IV {iv}% aur margin {margin}% pe check kar! 😎 Do your own research!","strategy_name,strategy_confidence,iv,margin","witty"
"check.*portfolio.*weekly.*pnl.*update","Bhai, recent weekly PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% aur risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"what.*trade.*pattern.*fomo.*recent","FOMO pattern tab hota hai jab tu bheed ke sath trade karta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"why.*portfolio.*exposure.*high.*recent","Bhai, exposure {exposure}% high hai coz heavy positions hain. Margin {margin}% tight hai, hedge ya cut kar le! ⚠️ Do your own research!","exposure,margin","serious"
"check.*strategy.*sharpe.*recent","Bhai, {strategy_name} ka recent Sharpe ratio {backtest_sharpe:.2f} hai. IV {iv}% pe backtest dekh, 1+ ho toh solid! 😎 Do your own research!","strategy_name,backtest_sharpe,iv","witty"
"what.*trade.*cost.*slippage.*recent","Slippage aur brokerage tera trade cost banate hain, bhai. Last {trade_count} trades ka cost {trade_cost:,.2f}, slippage {slippage}%. IV {iv}% pe optimize! 😎 Do your own research!","trade_count,trade_cost,slippage,iv","witty"
"suggest.*strategy.*low.*risk.*volatile.*recent","Bhai, IV {iv}% high hai, low risk ke liye iron condor ya butterfly spread try kar. Margin {margin}% ke andar khel! 😎 Do your own research!","iv,margin","witty"
"check.*portfolio.*risk.*daily.*recent","Bhai, daily risk {loss_risk}% hai, exposure {exposure}% aur margin {margin}% used. Hedge ya position cut kar le! ⚠️ Do your own research!","loss_risk,exposure,margin","serious"
"what.*trade.*pattern.*revenge.*recent","Revenge trading tab hota hai jab tu loss ka badla leta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"why.*strategy.*backtest.*failed.*recent.*market","Bhai, {strategy_name} ka recent backtest fail hua coz {reason}. Win rate {backtest_win_rate:.2f}% low hai, IV {iv}% pe new strategy try kar! 😬 Do your own research!","strategy_name,reason,backtest_win_rate,iv","serious"
"check.*market.*fii.*dii.*recent","Bhai, FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida. IV {iv}% pe market ka mood check kar! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
"suggest.*strategy.*volatile.*expiry.*recent","Expiry week mein IV {iv}% high hai, bhai. Strangle ya iron fly try kar, par gamma {gamma} high hai. Risk tight rakh! 😎 Do your own research!","iv,gamma","witty"
"check.*portfolio.*sharpe.*recent","Bhai, recent portfolio ka Sharpe ratio {portfolio_sharpe:.2f} hai. 1+ ho toh solid, warna IV {iv}% pe adjust kar! 😎 Do your own research!","portfolio_sharpe,iv","witty"
"what.*trade.*bias.*overtrading.*recent","Overtrading tab hota hai jab tu {trade_frequency} trades/day karta hai, bhai. Last {trade_count} trades mein pattern dikha. Journal likh! 😬 Do your own research!","trade_frequency,trade_count","serious"
"why.*trade.*slippage.*impact.*recent","Bhai, slippage {slippage}% impact deta hai coz market volatile hai, IV {iv}% pe. Limit orders use kar ya timing improve kar! 😎 Do your own research!","slippage,iv","witty"
"check.*strategy.*reason.*recommended.*recent.*market","Bhai, {strategy_name} recommended coz {strategy_reason}. Confidence {strategy_confidence:.2f}, IV {iv}% pe solid hai! 😎 Do your own research!","strategy_name,strategy_reason,strategy_confidence,iv","witty"
"suggest.*strategy.*high.*confidence.*volatile.*recent","Bhai, high confidence ke liye {strategy_name} try kar, confidence {strategy_confidence:.2f}. IV {iv}% aur margin {margin}% pe check kar! 😎 Do your own research!","strategy_name,strategy_confidence,iv,margin","witty"
"check.*portfolio.*weekly.*pnl.*recent","Bhai, recent weekly PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% aur risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"what.*trade.*pattern.*fomo.*recent.*market","FOMO pattern tab hota hai jab tu bheed ke sath trade karta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"why.*portfolio.*exposure.*high.*recent.*market","Bhai, exposure {exposure}% high hai coz heavy positions hain. Margin {margin}% tight hai, hedge ya cut kar le! ⚠️ Do your own research!","exposure,margin","serious"
"check.*strategy.*sharpe.*recent.*market","Bhai, {strategy_name} ka recent Sharpe ratio {backtest_sharpe:.2f} hai. IV {iv}% pe backtest dekh, 1+ ho toh solid! 😎 Do your own research!","strategy_name,backtest_sharpe,iv","witty"
"what.*trade.*cost.*slippage.*recent.*market","Slippage aur brokerage tera trade cost banate hain, bhai. Last {trade_count} trades ka cost {trade_cost:,.2f}, slippage {slippage}%. IV {iv}% pe optimize! 😎 Do your own research!","trade_count,trade_cost,slippage,iv","witty"
"suggest.*strategy.*low.*risk.*volatile.*recent.*market","Bhai, IV {iv}% high hai, low risk ke liye iron condor ya butterfly spread try kar. Margin {margin}% ke andar khel! 😎 Do your own research!","iv,margin","witty"
"check.*portfolio.*risk.*daily.*recent.*market","Bhai, daily risk {loss_risk}% hai, exposure {exposure}% aur margin {margin}% used. Hedge ya position cut kar le! ⚠️ Do your own research!","loss_risk,exposure,margin","serious"
"what.*trade.*pattern.*revenge.*recent.*market","Revenge trading tab hota hai jab tu loss ka badla leta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"why.*strategy.*backtest.*failed.*recent.*market.*update","Bhai, {strategy_name} ka recent backtest fail hua coz {reason}. Win rate {backtest_win_rate:.2f}% low hai, IV {iv}% pe new strategy try kar! 😬 Do your own research!","strategy_name,reason,backtest_win_rate,iv","serious"
"check.*market.*fii.*dii.*recent.*update","Bhai, FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida. IV {iv}% pe market ka mood check kar! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
"suggest.*strategy.*volatile.*expiry.*recent.*update","Expiry week mein IV {iv}% high hai, bhai. Strangle ya iron fly try kar, par gamma {gamma} high hai. Risk tight rakh! 😎 Do your own research!","iv,gamma","witty"
"check.*portfolio.*sharpe.*recent.*update","Bhai, recent portfolio ka Sharpe ratio {portfolio_sharpe:.2f} hai. 1+ ho toh solid, warna IV {iv}% pe adjust kar! 😎 Do your own research!","portfolio_sharpe,iv","witty"
"what.*trade.*bias.*overtrading.*recent.*update","Overtrading tab hota hai jab tu {trade_frequency} trades/day karta hai, bhai. Last {trade_count} trades mein pattern dikha. Journal likh! 😬 Do your own research!","trade_frequency,trade_count","serious"
"why.*trade.*slippage.*impact.*recent.*update","Bhai, slippage {slippage}% impact deta hai coz market volatile hai, IV {iv}% pe. Limit orders use kar ya timing improve kar! 😎 Do your own research!","slippage,iv","witty"
"check.*strategy.*reason.*recommended.*recent.*update","Bhai, {strategy_name} recommended coz {strategy_reason}. Confidence {strategy_confidence:.2f}, IV {iv}% pe solid hai! 😎 Do your own research!","strategy_name,strategy_reason,strategy_confidence,iv","witty"
"suggest.*strategy.*high.*confidence.*volatile.*recent.*update","Bhai, high confidence ke liye {strategy_name} try kar, confidence {strategy_confidence:.2f}. IV {iv}% aur margin {margin}% pe check kar! 😎 Do your own research!","strategy_name,strategy_confidence,iv,margin","witty"
"check.*portfolio.*weekly.*pnl.*recent.*update","Bhai, recent weekly PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% aur risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"what.*trade.*pattern.*fomo.*recent.*update","FOMO pattern tab hota hai jab tu bheed ke sath trade karta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"why.*portfolio.*exposure.*high.*recent.*update","Bhai, exposure {exposure}% high hai coz heavy positions hain. Margin {margin}% tight hai, hedge ya cut kar le! ⚠️ Do your own research!","exposure,margin","serious"
"check.*strategy.*sharpe.*recent.*update","Bhai, {strategy_name} ka recent Sharpe ratio {backtest_sharpe:.2f} hai. IV {iv}% pe backtest dekh, 1+ ho toh solid! 😎 Do your own research!","strategy_name,backtest_sharpe,iv","witty"
"what.*trade.*cost.*slippage.*recent.*update","Slippage aur brokerage tera trade cost banate hain, bhai. Last {trade_count} trades ka cost {trade_cost:,.2f}, slippage {slippage}%. IV {iv}% pe optimize! 😎 Do your own research!","trade_count,trade_cost,slippage,iv","witty"
"suggest.*strategy.*low.*risk.*volatile.*recent.*update","Bhai, IV {iv}% high hai, low risk ke liye iron condor ya butterfly spread try kar. Margin {margin}% ke andar khel! 😎 Do your own research!","iv,margin","witty"
"check.*portfolio.*risk.*daily.*recent.*update","Bhai, daily risk {loss_risk}% hai, exposure {exposure}% aur margin {margin}% used. Hedge ya position cut kar le! ⚠️ Do your own research!","loss_risk,exposure,margin","serious"
"what.*trade.*pattern.*revenge.*recent.*update","Revenge trading tab hota hai jab tu loss ka badla leta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"why.*strategy.*backtest.*failed.*recent.*update.*market","Bhai, {strategy_name} ka recent backtest fail hua coz {reason}. Win rate {backtest_win_rate:.2f}% low hai, IV {iv}% pe new strategy try kar! 😬 Do your own research!","strategy_name,reason,backtest_win_rate,iv","serious"
"check.*market.*fii.*dii.*recent.*update.*market","Bhai, FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida. IV {iv}% pe market ka mood check kar! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
"suggest.*strategy.*volatile.*expiry.*recent.*update.*market","Expiry week mein IV {iv}% high hai, bhai. Strangle ya iron fly try kar, par gamma {gamma} high hai. Risk tight rakh! 😎 Do your own research!","iv,gamma","witty"
"check.*portfolio.*sharpe.*recent.*update.*market","Bhai, recent portfolio ka Sharpe ratio {portfolio_sharpe:.2f} hai. 1+ ho toh solid, warna IV {iv}% pe adjust kar! 😎 Do your own research!","portfolio_sharpe,iv","witty"
"what.*trade.*bias.*overtrading.*recent.*update.*market","Overtrading tab hota hai jab tu {trade_frequency} trades/day karta hai, bhai. Last {trade_count} trades mein pattern dikha. Journal likh! 😬 Do your own research!","trade_frequency,trade_count","serious"
"why.*trade.*slippage.*impact.*recent.*update.*market","Bhai, slippage {slippage}% impact deta hai coz market volatile hai, IV {iv}% pe. Limit orders use kar ya timing improve kar! 😎 Do your own research!","slippage,iv","witty"
"check.*strategy.*reason.*recommended.*recent.*update.*market","Bhai, {strategy_name} recommended coz {strategy_reason}. Confidence {strategy_confidence:.2f}, IV {iv}% pe solid hai! 😎 Do your own research!","strategy_name,strategy_reason,strategy_confidence,iv","witty"
"suggest.*strategy.*high.*confidence.*volatile.*recent.*update.*market","Bhai, high confidence ke liye {strategy_name} try kar, confidence {strategy_confidence:.2f}. IV {iv}% aur margin {margin}% pe check kar! 😎 Do your own research!","strategy_name,strategy_confidence,iv,margin","witty"
"check.*portfolio.*weekly.*pnl.*recent.*update.*market","Bhai, recent weekly PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% aur risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"what.*trade.*pattern.*fomo.*recent.*update.*market","FOMO pattern tab hota hai jab tu bheed ke sath trade karta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"why.*portfolio.*exposure.*high.*recent.*update.*market","Bhai, exposure {exposure}% high hai coz heavy positions hain. Margin {margin}% tight hai, hedge ya cut kar le! ⚠️ Do your own research!","exposure,margin","serious"
"check.*strategy.*sharpe.*recent.*update.*market","Bhai, {strategy_name} ka recent Sharpe ratio {backtest_sharpe:.2f} hai. IV {iv}% pe backtest dekh, 1+ ho toh solid! 😎 Do your own research!","strategy_name,backtest_sharpe,iv","witty"
"what.*trade.*cost.*slippage.*recent.*update.*market","Slippage aur brokerage tera trade cost banate hain, bhai. Last {trade_count} trades ka cost {trade_cost:,.2f}, slippage {slippage}%. IV {iv}% pe optimize! 😎 Do your own research!","trade_count,trade_cost,slippage,iv","witty"
"suggest.*strategy.*low.*risk.*volatile.*recent.*update.*market","Bhai, IV {iv}% high hai, low risk ke liye iron condor ya butterfly spread try kar. Margin {margin}% ke andar khel! 😎 Do your own research!","iv,margin","witty"
"check.*portfolio.*risk.*daily.*recent.*update.*market","Bhai, daily risk {loss_risk}% hai, exposure {exposure}% aur margin {margin}% used. Hedge ya position cut kar le! ⚠️ Do your own research!","loss_risk,exposure,margin","serious"
"what.*trade.*pattern.*revenge.*recent.*update.*market","Revenge trading tab hota hai jab tu loss ka badla leta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"why.*strategy.*backtest.*failed.*recent.*update.*market.*latest","Bhai, {strategy_name} ka recent backtest fail hua coz {reason}. Win rate {backtest_win_rate:.2f}% low hai, IV {iv}% pe new strategy try kar! 😬 Do your own research!","strategy_name,reason,backtest_win_rate,iv","serious"
"check.*market.*fii.*dii.*recent.*update.*market.*latest","Bhai, FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida. IV {iv}% pe market ka mood check kar! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
"suggest.*strategy.*volatile.*expiry.*recent.*update.*market.*latest","Expiry week mein IV {iv}% high hai, bhai. Strangle ya iron fly try kar, par gamma {gamma} high hai. Risk tight rakh! 😎 Do your own research!","iv,gamma","witty"
"check.*portfolio.*sharpe.*recent.*update.*market.*latest","Bhai, recent portfolio ka Sharpe ratio {portfolio_sharpe:.2f} hai. 1+ ho toh solid, warna IV {iv}% pe adjust kar! 😎 Do your own research!","portfolio_sharpe,iv","witty"
"what.*trade.*bias.*overtrading.*recent.*update.*market.*latest","Overtrading tab hota hai jab tu {trade_frequency} trades/day karta hai, bhai. Last {trade_count} trades mein pattern dikha. Journal likh! 😬 Do your own research!","trade_frequency,trade_count","serious"
"why.*trade.*slippage.*impact.*recent.*update.*market.*latest","Bhai, slippage {slippage}% impact deta hai coz market volatile hai, IV {iv}% pe. Limit orders use kar ya timing improve kar! 😎 Do your own research!","slippage,iv","witty"
"check.*strategy.*reason.*recommended.*recent.*update.*market.*latest","Bhai, {strategy_name} recommended coz {strategy_reason}. Confidence {strategy_confidence:.2f}, IV {iv}% pe solid hai! 😎 Do your own research!","strategy_name,strategy_reason,strategy_confidence,iv","witty"
"suggest.*strategy.*high.*confidence.*volatile.*recent.*update.*market.*latest","Bhai, high confidence ke liye {strategy_name} try kar, confidence {strategy_confidence:.2f}. IV {iv}% aur margin {margin}% pe check kar! 😎 Do your own research!","strategy_name,strategy_confidence,iv,margin","witty"
"check.*portfolio.*weekly.*pnl.*recent.*update.*market.*latest","Bhai, recent weekly PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% aur risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"what.*trade.*pattern.*fomo.*recent.*update.*market.*latest","FOMO pattern tab hota hai jab tu bheed ke sath trade karta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"why.*portfolio.*exposure.*high.*recent.*update.*market.*latest","Bhai, exposure {exposure}% high hai coz heavy positions hain. Margin {margin}% tight hai, hedge ya cut kar le! ⚠️ Do your own research!","exposure,margin","serious"
"check.*strategy.*sharpe.*recent.*update.*market.*latest","Bhai, {strategy_name} ka recent Sharpe ratio {backtest_sharpe:.2f} hai. IV {iv}% pe backtest dekh, 1+ ho toh solid! 😎 Do your own research!","strategy_name,backtest_sharpe,iv","witty"
"what.*trade.*cost.*slippage.*recent.*update.*market.*latest","Slippage aur brokerage tera trade cost banate hain, bhai. Last {trade_count} trades ka cost {trade_cost:,.2f}, slippage {slippage}%. IV {iv}% pe optimize! 😎 Do your own research!","trade_count,trade_cost,slippage,iv","witty"
"suggest.*strategy.*low.*risk.*volatile.*recent.*update.*market.*latest","Bhai, IV {iv}% high hai, low risk ke liye iron condor ya butterfly spread try kar. Margin {margin}% ke andar khel! 😎 Do your own research!","iv,margin","witty"
"check.*portfolio.*risk.*daily.*recent.*update.*market.*latest","Bhai, daily risk {loss_risk}% hai, exposure {exposure}% aur margin {margin}% used. Hedge ya position cut kar le! ⚠️ Do your own research!","loss_risk,exposure,margin","serious"
"what.*trade.*pattern.*revenge.*recent.*update.*market.*latest","Revenge trading tab hota hai jab tu loss ka badla leta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"why.*strategy.*backtest.*failed.*recent.*update.*market.*latest.*update","Bhai, {strategy_name} ka recent backtest fail hua coz {reason}. Win rate {backtest_win_rate:.2f}% low hai, IV {iv}% pe new strategy try kar! 😬 Do your own research!","strategy_name,reason,backtest_win_rate,iv","serious"
"check.*market.*fii.*dii.*recent.*update.*market.*latest.*update","Bhai, FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida. IV {iv}% pe market ka mood check kar! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
"suggest.*strategy.*volatile.*expiry.*recent.*update.*market.*latest.*update","Expiry week mein IV {iv}% high hai, bhai. Strangle ya iron fly try kar, par gamma {gamma} high hai. Risk tight rakh! 😎 Do your own research!","iv,gamma","witty"
"check.*portfolio.*sharpe.*recent.*update.*market.*latest.*update","Bhai, recent portfolio ka Sharpe ratio {portfolio_sharpe:.2f} hai. 1+ ho toh solid, warna IV {iv}% pe adjust kar! 😎 Do your own research!","portfolio_sharpe,iv","witty"
"what.*trade.*bias.*overtrading.*recent.*update.*market.*latest.*update","Overtrading tab hota hai jab tu {trade_frequency} trades/day karta hai, bhai. Last {trade_count} trades mein pattern dikha. Journal likh! 😬 Do your own research!","trade_frequency,trade_count","serious"
"why.*trade.*slippage.*impact.*recent.*update.*market.*latest.*update","Bhai, slippage {slippage}% impact deta hai coz market volatile hai, IV {iv}% pe. Limit orders use kar ya timing improve kar! 😎 Do your own research!","slippage,iv","witty"
"check.*strategy.*reason.*recommended.*recent.*update.*market.*latest.*update","Bhai, {strategy_name} recommended coz {strategy_reason}. Confidence {strategy_confidence:.2f}, IV {iv}% pe solid hai! 😎 Do your own research!","strategy_name,strategy_reason,strategy_confidence,iv","witty"
"suggest.*strategy.*high.*confidence.*volatile.*recent.*update.*market.*latest.*update","Bhai, high confidence ke liye {strategy_name} try kar, confidence {strategy_confidence:.2f}. IV {iv}% aur margin {margin}% pe check kar! 😎 Do your own research!","strategy_name,strategy_confidence,iv,margin","witty"
"check.*portfolio.*weekly.*pnl.*recent.*update.*market.*latest.*update","Bhai, recent weekly PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% aur risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"what.*trade.*pattern.*fomo.*recent.*update.*market.*latest.*update","FOMO pattern tab hota hai jab tu bheed ke sath trade karta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"why.*portfolio.*exposure.*high.*recent.*update.*market.*latest.*update","Bhai, exposure {exposure}% high hai coz heavy positions hain. Margin {margin}% tight hai, hedge ya cut kar le! ⚠️ Do your own research!","exposure,margin","serious"
"check.*strategy.*sharpe.*recent.*update.*market.*latest.*update","Bhai, {strategy_name} ka recent Sharpe ratio {backtest_sharpe:.2f} hai. IV {iv}% pe backtest dekh, 1+ ho toh solid! 😎 Do your own research!","strategy_name,backtest_sharpe,iv","witty"
"what.*trade.*cost.*slippage.*recent.*update.*market.*latest.*update","Slippage aur brokerage tera trade cost banate hain, bhai. Last {trade_count} trades ka cost {trade_cost:,.2f}, slippage {slippage}%. IV {iv}% pe optimize! 😎 Do your own research!","trade_count,trade_cost,slippage,iv","witty"
"suggest.*strategy.*low.*risk.*volatile.*recent.*update.*market.*latest.*update","Bhai, IV {iv}% high hai, low risk ke liye iron condor ya butterfly spread try kar. Margin {margin}% ke andar khel! 😎 Do your own research!","iv,margin","witty"
"check.*portfolio.*risk.*daily.*recent.*update.*market.*latest.*update","Bhai, daily risk {loss_risk}% hai, exposure {exposure}% aur margin {margin}% used. Hedge ya position cut kar le! ⚠️ Do your own research!","loss_risk,exposure,margin","serious"
"what.*trade.*pattern.*revenge.*recent.*update.*market.*latest.*update","Revenge trading tab hota hai jab tu loss ka badla leta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"why.*strategy.*backtest.*failed.*recent.*update.*market.*latest.*update.*latest","Bhai, {strategy_name} ka recent backtest fail hua coz {reason}. Win rate {backtest_win_rate:.2f}% low hai, IV {iv}% pe new strategy try kar! 😬 Do your own research!","strategy_name,reason,backtest_win_rate,iv","serious"
"check.*market.*fii.*dii.*recent.*update.*market.*latest.*update.*latest","Bhai, FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida. IV {iv}% pe market ka mood check kar! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
"suggest.*strategy.*volatile.*expiry.*recent.*update.*market.*latest.*update.*latest","Expiry week mein IV {iv}% high hai, bhai. Strangle ya iron fly try kar, par gamma {gamma} high hai. Risk tight rakh! 😎 Do your own research!","iv,gamma","witty"
"check.*portfolio.*sharpe.*recent.*update.*market.*latest.*update.*latest","Bhai, recent portfolio ka Sharpe ratio {portfolio_sharpe:.2f} hai. 1+ ho toh solid, warna IV {iv}% pe adjust kar! 😎 Do your own research!","portfolio_sharpe,iv","witty"
query_pattern,response_template,context_needed,tone
"what.*jade.*lizard","Bhai Jade Lizard ek beast hai! Call spread + put bechta hai. High IV {iv}% pe khele, unlimited profit if market goes up. Margin {margin}% check kar! 😎 Do your own research!","iv,margin","witty"
"why.*calendar.*spread","Calendar spread alag expiry ke options ka khel hai bhai. Vega positive hai, so high IV {iv}% pe premium accha milega. Backtest check kar le! 📈 Do your own research!","iv","witty"
"check.*ratio.*backspread","Ratio backspread high IV {iv}% mein kamzor hai, bhai. Market bahut niche girne par profit, warna loss. Gamma {gamma} aur margin {margin}% dekh le! ⚠️ Do your own research!","iv,gamma,margin","serious"
"should.*hedge.*iron.*condor","Iron condor pe hedge zyada zaroori nahi bhai, par VIX {vix}% > 18 ho toh small strangle ya futures lagaye jao. Risk manage karo! 😬 Do your own research!","vix","serious"
"explain.*regime.*low","Market Low volatility regime hai bhai, IV {iv}% neeche hai. Iron condor ya covered call try kar. Agar overtrading kiya toh journal likhna padega! 😜 Do your own research!","iv","witty"
"what.*regime.*high","High regime mein IV {iv}% chadha hua hai, bhai. Straddle/Strangle strategy recommend hoga. Trade karte waqt discipline score dekhna na bhoolo! 😎 Do your own research!","iv","witty"
"check.*regime.*event","Event-driven regime hai bhai! News impact {impact}% hai, IV {iv}% max hai. Strategy: Hedged strangle ya Jade lizard. Margin se zyada mat uchhalna! ⚠️ Do your own research!","impact,iv","serious"
"run.*engine","Engine chal raha hai bhai! Nifty {nifty_close}, VIX {vix}, IV {iv}%. Market regime: {regime}. Recommended strategy: {strategy_name}. Margin {margin}% ke andar khelo! 😎 Do your own research!","nifty_close,vix,iv,regime,strategy_name,margin","witty"
"show.*risk.*checks","Bhai, pre-trade risk checks fail ho gaye! VIX {vix}% > 25 ya exposure {exposure}% >70% hai. Journal likho warna lock hoga panel! ⚠️ Do your own research!","vix,exposure","serious"
"what.*discipline.*score","Discipline score teri trading ki base hai bhai! Abhi {discipline_score}/10 hai. Daily goals nahi follow kiye toh engine band kar dega! 📉 Do your own research!","discipline_score","serious"
"why.*journal.*required","Journal mandatory hai bhai! Taki pata chale tu kyun rule tod raha hai. Last trade mein FOMO bias tha? Ya revenge trade? Sambhal jao! 😬 Do your own research!","bias","serious"
"check.*intraday.*mode","Intraday mode abhi locked hai bhai! VIX {vix}% <18 hai ya capital >20% set hai. Journal fill karke unlock karo! ⚠️ Do your own research!","vix,capital","serious"
"capital.*preference","Capital preference ₹{capital:,.0f} set hai bhai! Strategy engine iski basis pe risk-adjusted recommendations dega. Change karna ho toh sidebar dekho! 😎 Do your own research!","capital","witty"
"change.*dte.*preference","DTE preference abhi {dte_preference} days hai bhai! Engine iske hisaab se expiry select karega. Regime change hone par automatic adjust bhi ho sakta hai! 😜 Do your own research!","dte_preference","witty"
"view.*portfolio.*tracker","Portfolio tracker mei live PnL ₹{weekly_pnl:,.2f}, margin ₹{margin_used:,.2f}, exposure {exposure}% hai bhai! Weekly loss limit tak pahuncha toh engine band kar dega. Dhyan rakhna! 😬 Do your own research!","weekly_pnl,margin_used,exposure","serious"
"trade.*reflection","Trade reflection line chart mei tu dekh sakta hai bhai ki tera behavior kaisa hai – disciplined ya emotional. Score {discipline_score}/10 hai, improve karo! 📊 Do your own research!","discipline_score","witty"
"suggest.*strategy.*based.*regime","Regime: {regime} hai bhai! Isliye strategy recommendation: {strategy_name}. Confidence level: {confidence:.2f}. IV {iv}% ke according adjust karo! 😎 Do your own research!","regime,strategy_name,confidence,iv","witty"
"check.*weekly.*loss.*limit","Weekly loss limit exceed ho gya bhai! ₹{weekly_loss:,.2f} hogaya hai. Engine lock hoga jab tak tu journal nahi likhega. Chill karo! ⚠️ Do your own research!","weekly_loss","serious"
"why.*locked.*strategy","Strategy panel locked hai bhai! 2 rule violations hai tere. Journal likhke apni biases dikhao warna unlock nahi hoga! 😬 Do your own research!","violations","serious"
"what.*confidence.*level","Confidence level teri strategy ki strength batata hai bhai! Abhi {confidence:.2f}. Higher = safer trade. Sharpe ratio & backtest win rate se calculate hota hai! 📈 Do your own research!","confidence","witty"
"how.*to.*unlock.*panel","Panel unlock karne ke liye journal likhna padega bhai! Kyo strategy choose kiya? Override kyu kiya warnings ko? Honest likho warna band rahenge options! 😬 Do your own research!","reason","serious"
"check.*exposure.*limit","Exposure limit exceed ho gya hai bhai! {exposure}% >70%! Position reduce karo ya hedge daalo warna engine block karega next trades! ⚠️ Do your own research!","exposure","serious"
"login.*demo.*mode","Demo mode chalu hai bhai! Cached data hai, trade nahi ja sakte. Live trading ke liye 5paisa credentials add karo! 😎 Do your own research!","demo_status","witty"
